module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms,batch_size,quality_formula,quality_model_variant,quality_source_method,quality_local_error_metric,quality_cost,global_coef,layer_coef,type_coef,latency_source,prefill_ms,latency_cost,supported,latency_reason,latency_gain_vs_dense,quality_delta_vs_dense
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,2.267354284413159e-05,0.048912412566041834,0.2211615078761262,0.123046875,0.02153030344086814,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0004056858652589897,0.090397909283638,0.5704208016395569,0.16084851324558258,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.0004056858652589897
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9517530929178852,0.9517530929178852,True,,0.0,0.0
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00023521107505075634,0.005677068394525687,0.07534632303255206,0.5,0.2035479909746637,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.00017624605096688966,0.08560006320476532,0.6577641367912292,0.5513799786567688,latency_model,0.3590806055009777,0.3590806055009777,True,,0.5926724874169076,0.00017624605096688966
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.0013853287091478705,0.03343637551520623,0.18285616072532593,3.25,0.2035479909746637,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.00032434750943783995,0.07050386071205139,0.6497327089309692,0.21175990998744965,latency_model,0.48020203828590585,0.48020203828590585,True,,0.4715510546319794,0.00032434750943783995
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.002796338638290763,0.06749259447245759,0.2597933688000092,5.0,0.2035479909746637,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0005230054093595929,0.090397909283638,0.5704208016395569,0.15027831494808197,latency_model,0.2993950398151209,0.2993950398151209,True,,0.6523580531027644,0.0005230054093595929
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9517530929178852,0.9517530929178852,True,,0.0,0.0
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00019970544963143766,0.010776957295561463,0.10381212499299618,0.4375,0.13612781608530555,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.0003248021047107186,0.08560006320476532,0.6577641367912292,0.5352767705917358,latency_model,0.3590806055009777,0.3590806055009777,True,,0.5926724874169076,0.0003248021047107186
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.001165361376479268,0.06288786716332427,0.25077453451920567,2.5,0.13612781608530555,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.0005027507110691184,0.07050386071205139,0.6497327089309692,0.1745171844959259,latency_model,0.48020203828590585,0.48020203828590585,True,,0.4715510546319794,0.0005027507110691184
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0021859994158148766,0.11796584617914532,0.3434615643403863,3.875,0.13612781608530555,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0008603990129996813,0.090397909283638,0.5704208016395569,0.14144574105739594,latency_model,0.2993950398151209,0.2993950398151209,True,,0.6523580531027644,0.0008603990129996813
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.9846591372922003,0.9846591372922003,True,,0.0,0.0
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,0.01164313405752182,0.0010442935807655198,0.032315531571761584,28.0,3.339055553923519,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,2.933055784214155e-05,0.08560006320476532,0.6577641367912292,0.49883100390434265,latency_model,0.6161100353609755,0.6161100353609755,True,,0.3685491019312248,2.933055784214155e-05
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,1.678356420597993e-05,1.5053479824315713e-06,0.0012269262334922875,0.25,3.339055553923519,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,1.5439388048835752e-08,0.07050386071205139,0.6497327089309692,0.2238955944776535,latency_model,0.5130693747467034,0.5130693747467034,True,,0.4715897625454969,1.5439388048835752e-08
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,0.012184225022792816,0.001092825000128305,0.033057903746733626,28.0,3.339055553923519,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,9.251403290279332e-06,0.090397909283638,0.5704208016395569,0.16417357325553894,latency_model,0.5828037906155628,0.5828037906155628,True,,0.4018553466766376,9.251403290279332e-06
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0011151591315865517,0.001328375877465402,0.03644689119068185,0.3798828125,0.9162372247864363,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,4.7938897317307386e-05,0.08560006320476532,0.6736711263656616,0.6258136630058289,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,4.7938897317307386e-05
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,0.006905605085194111,0.008225946373611612,0.09069700311262556,0.84375,0.9162372247864363,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.00013447867326430208,0.07050386071205139,0.5912330150604248,0.39218950271606445,latency_model,0.215636,0.215636,True,,0.172147,0.00013447867326430208
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.014592582359910011,0.017382662122179024,0.13184332414718244,1.375,0.9162372247864363,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0002267251653086925,0.090397909283638,0.4998841881752014,0.2886394262313843,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.0002267251653086925
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.0012677768245339394,0.0009779833891346366,0.03127272596264414,0.5,1.1385593260535356,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,3.704660184822195e-05,0.08560006320476532,0.6736711263656616,0.6568933725357056,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,3.704660184822195e-05
