module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel
207,model.language_model.layers.29.self_attn.o_proj,29,layers_24_31,o_proj,attention,4096,4096,16777216
208,model.language_model.layers.29.mlp.gate_proj,29,layers_24_31,gate_proj,mlp,11008,4096,45088768
209,model.language_model.layers.29.mlp.up_proj,29,layers_24_31,up_proj,mlp,11008,4096,45088768
210,model.language_model.layers.29.mlp.down_proj,29,layers_24_31,down_proj,mlp,4096,11008,45088768
211,model.language_model.layers.30.self_attn.q_proj,30,layers_24_31,q_proj,attention,4096,4096,16777216
212,model.language_model.layers.30.self_attn.k_proj,30,layers_24_31,k_proj,attention,4096,4096,16777216
213,model.language_model.layers.30.self_attn.v_proj,30,layers_24_31,v_proj,attention,4096,4096,16777216
214,model.language_model.layers.30.self_attn.o_proj,30,layers_24_31,o_proj,attention,4096,4096,16777216
215,model.language_model.layers.30.mlp.gate_proj,30,layers_24_31,gate_proj,mlp,11008,4096,45088768
216,model.language_model.layers.30.mlp.up_proj,30,layers_24_31,up_proj,mlp,11008,4096,45088768
217,model.language_model.layers.30.mlp.down_proj,30,layers_24_31,down_proj,mlp,4096,11008,45088768
218,model.language_model.layers.31.self_attn.q_proj,31,layers_24_31,q_proj,attention,4096,4096,16777216
219,model.language_model.layers.31.self_attn.k_proj,31,layers_24_31,k_proj,attention,4096,4096,16777216
220,model.language_model.layers.31.self_attn.v_proj,31,layers_24_31,v_proj,attention,4096,4096,16777216
221,model.language_model.layers.31.self_attn.o_proj,31,layers_24_31,o_proj,attention,4096,4096,16777216
222,model.language_model.layers.31.mlp.gate_proj,31,layers_24_31,gate_proj,mlp,11008,4096,45088768
223,model.language_model.layers.31.mlp.up_proj,31,layers_24_31,up_proj,mlp,11008,4096,45088768
224,model.language_model.layers.31.mlp.down_proj,31,layers_24_31,down_proj,mlp,4096,11008,45088768
