module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
30,model.language_model.layers.4.self_attn.k_proj,4,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,0.015064029954373837,0.009378034041376045,0.09684025011004486,1.6875,1.2674028601657643
30,model.language_model.layers.4.self_attn.k_proj,4,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.03190018981695175,0.019859298403935372,0.14092302297330755,3.0,1.2674028601657643
31,model.language_model.layers.4.self_attn.v_proj,4,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
31,model.language_model.layers.4.self_attn.v_proj,4,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,0.0006175294984132051,0.017861517349828698,0.13364698780679157,0.2060546875,0.1859386524196783
31,model.language_model.layers.4.self_attn.v_proj,4,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_bf16,0.0035183040890842676,0.10176396381165666,0.3190046454389915,0.494140625,0.1859386524196783
31,model.language_model.layers.4.self_attn.v_proj,4,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_nvfp4,0.006337423343211412,0.18330459887154674,0.428140863351709,0.6953125,0.1859386524196783
32,model.language_model.layers.4.self_attn.o_proj,4,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
32,model.language_model.layers.4.self_attn.o_proj,4,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,8.138785233313683e-06,0.013239392742971081,0.11506256012696346,0.1593017578125,0.024793952304683294
32,model.language_model.layers.4.self_attn.o_proj,4,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,4.2180159653071314e-05,0.06861462535249463,0.2619439355138703,0.60546875,0.024793952304683294
32,model.language_model.layers.4.self_attn.o_proj,4,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,7.640120020369068e-05,0.12428212153709718,0.3525366953057471,0.7794189453125,0.024793952304683294
33,model.language_model.layers.4.mlp.gate_proj,4,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
33,model.language_model.layers.4.mlp.gate_proj,4,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,0.0006062097963877022,0.01080008330119975,0.10392344923644398,0.283203125,0.23691792622534535
33,model.language_model.layers.4.mlp.gate_proj,4,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.0033527142368257046,0.05973112486568605,0.24439951895551276,0.7447509765625,0.23691792622534535
33,model.language_model.layers.4.mlp.gate_proj,4,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.00618412671610713,0.11017486698023735,0.3319259962404833,1.0,0.23691792622534535
34,model.language_model.layers.4.mlp.up_proj,4,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
34,model.language_model.layers.4.mlp.up_proj,4,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,0.0004792025429196656,0.015593986808720076,0.12487588561736039,0.203125,0.1752996204357423
34,model.language_model.layers.4.mlp.up_proj,4,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.0026382619980722666,0.08585309782628461,0.29300699279417314,1.09375,0.1752996204357423
34,model.language_model.layers.4.mlp.up_proj,4,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.004744384437799454,0.15438955704987628,0.3929243655589155,1.5625,0.1752996204357423
35,model.language_model.layers.4.mlp.down_proj,4,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
35,model.language_model.layers.4.mlp.down_proj,4,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,0.0001051267099683173,0.0037423871916496773,0.06117505367099956,0.4375,0.16760315030202522
35,model.language_model.layers.4.mlp.down_proj,4,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,0.00013000715989619493,0.0046281019368427136,0.06803015461427905,0.1953125,0.16760315030202522
35,model.language_model.layers.4.mlp.down_proj,4,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,0.0003418680280447006,0.012170099585296657,0.11031817431999433,0.4375,0.16760315030202522
36,model.language_model.layers.5.self_attn.q_proj,5,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
36,model.language_model.layers.5.self_attn.q_proj,5,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.002437847200781107,0.0025036862732177,0.050036849153575806,0.501953125,0.9867639768358161
