policy_index,policy_name,policy_json,label,backend_counts
48,policy_048_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_048_random.json,random_mixed,"{'dense_bf16': 62, 'dense_nvfp4': 61, 'sparse_bf16': 56, 'sparse_nvfp4': 45}"
49,policy_049_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_049_random.json,random_mixed,"{'dense_bf16': 45, 'dense_nvfp4': 63, 'sparse_bf16': 58, 'sparse_nvfp4': 58}"
50,policy_050_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_050_random.json,random_mixed,"{'dense_bf16': 64, 'dense_nvfp4': 59, 'sparse_bf16': 55, 'sparse_nvfp4': 46}"
51,policy_051_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_051_random.json,random_mixed,"{'dense_bf16': 49, 'dense_nvfp4': 48, 'sparse_bf16': 67, 'sparse_nvfp4': 60}"
52,policy_052_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_052_random.json,random_mixed,"{'dense_bf16': 58, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 53}"
53,policy_053_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_053_random.json,random_mixed,"{'dense_bf16': 51, 'dense_nvfp4': 61, 'sparse_bf16': 62, 'sparse_nvfp4': 50}"
54,policy_054_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_054_random.json,random_mixed,"{'dense_bf16': 49, 'dense_nvfp4': 60, 'sparse_bf16': 56, 'sparse_nvfp4': 59}"
55,policy_055_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_055_random.json,random_mixed,"{'dense_bf16': 53, 'dense_nvfp4': 49, 'sparse_bf16': 62, 'sparse_nvfp4': 60}"
56,policy_056_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_056_random.json,random_mixed,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 60}"
57,policy_057_round_robin_r0.25,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_057_round_robin_r0.25.json,round_robin_0.25,"{'dense_bf16': 167, 'dense_nvfp4': 19, 'sparse_bf16': 19, 'sparse_nvfp4': 19}"
58,policy_058_round_robin_r0.5,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_058_round_robin_r0.5.json,round_robin_0.5,"{'dense_bf16': 111, 'dense_nvfp4': 38, 'sparse_bf16': 38, 'sparse_nvfp4': 37}"
59,policy_059_round_robin_r0.75,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_059_round_robin_r0.75.json,round_robin_0.75,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 56}"
60,policy_060_round_robin_r1,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_060_round_robin_r1.json,round_robin_1,"{'dense_nvfp4': 75, 'sparse_bf16': 75, 'sparse_nvfp4': 74}"
