module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.13.mlp.down_proj,98,13,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11973424836187925,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.14.self_attn.q_proj,99,14,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.31015632360768164,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.14.self_attn.k_proj,100,14,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.20589485822369707,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.14.self_attn.v_proj,101,14,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1588003091339407,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.14.self_attn.o_proj,102,14,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.4544701921764458,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.14.mlp.gate_proj,103,14,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.0487874331281335,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.14.mlp.up_proj,104,14,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08597515151477989,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.14.mlp.down_proj,105,14,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.12219174628750502,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.15.self_attn.q_proj,106,15,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.27420582986916214,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.15.self_attn.k_proj,107,15,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.1999527049895286,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.15.self_attn.v_proj,108,15,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1269170229046208,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.15.self_attn.o_proj,109,15,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3274505654495972,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.15.mlp.gate_proj,110,15,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04903439476655477,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
