method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer_type:1:v_proj,layer_type,1,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9588367411768366,0.0009482863364620453,7.091073511749684,65408,128123.59356689453,1.9578884548403745
dense_nvfp4,layer_type:1:o_proj,layer_type,1,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581742016070043,0.0002857467666297353,7.086376950956043,65408,128080.25817871094,1.9578884548403745
dense_nvfp4,layer_type:1:gate_proj,layer_type,1,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9586760381896435,0.0007875833492689832,7.089934046614117,65408,128113.0823059082,1.9578884548403745
dense_nvfp4,layer_type:1:up_proj,layer_type,1,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9577612298342113,-0.00012722500616324517,7.08345108149626,65408,128053.2465209961,1.9578884548403745
dense_nvfp4,layer_type:1:down_proj,layer_type,1,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9830813165280217,0.025192861687647117,7.265094587325198,65408,129709.38275146484,1.9578884548403745
dense_nvfp4,layer_type:2:q_proj,layer_type,2,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584598102681559,0.000571355427781306,7.088401170642999,65408,128098.93927001953,1.9578884548403745
dense_nvfp4,layer_type:2:k_proj,layer_type,2,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584431732237455,0.0005547183833709557,7.088283241578923,65408,128097.85107421875,1.9578884548403745
dense_nvfp4,layer_type:2:v_proj,layer_type,2,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9583675100845366,0.00047905524416202994,7.087746940106645,65408,128092.90209960938,1.9578884548403745
dense_nvfp4,layer_type:2:o_proj,layer_type,2,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9587719370474321,0.0008834822070575843,7.090613995793638,65408,128119.35485839844,1.9578884548403745
dense_nvfp4,layer_type:2:gate_proj,layer_type,2,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.957987129804906,9.867496453153102e-05,7.085051413638674,65408,128068.0221862793,1.9578884548403745
