module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.4.self_attn.o_proj,32,4,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.12388321697828344,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.05332086390002568,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.4.mlp.up_proj,34,4,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.11739385835229203,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.4.mlp.down_proj,35,4,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12899754714683578,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.5.self_attn.q_proj,36,5,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.016455585082765845,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.5.self_attn.k_proj,37,5,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.5.self_attn.v_proj,38,5,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.5.self_attn.o_proj,39,5,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.05227652299004807,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.5.mlp.up_proj,41,5,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.11383421006910711,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.5.mlp.down_proj,42,5,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1287534731989417,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.6.self_attn.q_proj,43,6,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.01757090321604021,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.6.self_attn.k_proj,44,6,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.6.self_attn.v_proj,45,6,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.6.self_attn.o_proj,46,6,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.1614939796046161,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.045665759724203794,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.6.mlp.up_proj,48,6,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.10775929236097022,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.6.mlp.down_proj,49,6,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12889398299406785,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.7.self_attn.q_proj,50,7,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.0161911386619182,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.7.self_attn.k_proj,51,7,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.7.self_attn.v_proj,52,7,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
