key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count,actual_batch_size,input_tokens,e2e_prefill_mean_ms,e2e_prefill_p50_ms,e2e_prefill_p90_ms,e2e_prefill_min_ms,e2e_prefill_max_ms,samples_per_sec,global_accuracy,total_right,total_wrong,subset_samples,accuracy_batch_size,calib_samples,replaced_linear_count,skipped_linear_count,backend_counts_runtime,runtime_skipped,warmup,iters
random_random_011,random,random_011,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_011.json,16,887.501706208098,1.1094949449483527,0.05640662431291057,"{'dense_bf16': 174, 'dense_nvfp4': 19, 'sparse_bf16': 15, 'sparse_nvfp4': 16}",0.2,174,19,15,16,,,,16,1024,1214.576355,1214.404053,1215.649805,1212.708252,1216.127930,13.173318,0.99300000,993,7,1000,8,128,50,0,"{'dense_bf16': 174, 'dense_nvfp4': 19, 'sparse_bf16': 15, 'sparse_nvfp4': 16}",[],3,10
random_random_012,random,random_012,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_012.json,16,847.7367945410685,1.1615381837991225,0.11989203447437269,"{'dense_bf16': 152, 'dense_nvfp4': 24, 'sparse_bf16': 22, 'sparse_nvfp4': 26}",0.35,152,24,22,26,,,,16,1024,1170.241638,1170.171509,1171.205750,1169.348633,1171.348022,13.672390,0.99400000,994,6,1000,8,128,72,0,"{'dense_bf16': 152, 'dense_nvfp4': 24, 'sparse_bf16': 22, 'sparse_nvfp4': 26}",[],3,10
random_random_013,random,random_013,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_013.json,16,737.9842733490485,1.3342813556206958,0.1950795732318729,"{'dense_bf16': 107, 'dense_nvfp4': 38, 'sparse_bf16': 41, 'sparse_nvfp4': 38}",0.5,107,38,41,38,,,,16,1024,1085.037488,1084.944092,1085.550757,1084.538940,1085.729614,14.746034,0.99200000,992,8,1000,8,128,117,0,"{'dense_bf16': 107, 'dense_nvfp4': 38, 'sparse_bf16': 41, 'sparse_nvfp4': 38}",[],3,10
random_random_014,random,random_014,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_014.json,16,701.443512144295,1.4037889575181686,0.2237390977659107,"{'dense_bf16': 81, 'dense_nvfp4': 41, 'sparse_bf16': 58, 'sparse_nvfp4': 44}",0.65,81,41,58,44,,,,16,1024,1063.312964,1063.212769,1063.584241,1062.996948,1064.167725,15.047310,0.99200000,992,8,1000,8,128,143,0,"{'dense_bf16': 81, 'dense_nvfp4': 41, 'sparse_bf16': 58, 'sparse_nvfp4': 44}",[],3,10
random_random_015,random,random_015,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_015.json,16,661.6631301825859,1.488187284062814,0.32358571436548555,"{'dense_bf16': 58, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 54}",0.8,58,54,58,54,,,,16,1024,1033.196948,1033.195496,1033.365369,1033.033569,1033.365479,15.485915,0.97200000,972,28,1000,8,128,166,0,"{'dense_bf16': 58, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 54}",[],3,10
random_random_016,random,random_016,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_016.json,16,546.2364812791427,1.8026600024316635,0.2965942331375441,"{'dense_nvfp4': 84, 'sparse_bf16': 65, 'sparse_nvfp4': 75}",1.0,0,84,65,75,,,,16,1024,920.207617,920.171173,920.437592,919.889709,920.698792,17.387381,0.98600000,986,14,1000,8,128,224,0,"{'dense_nvfp4': 84, 'sparse_bf16': 65, 'sparse_nvfp4': 75}",[],3,10
random_random_017,random,random_017,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_017.json,16,975.3681066359117,1.0095456781615748,0.006459707675125479,"{'dense_bf16': 216, 'dense_nvfp4': 4, 'sparse_bf16': 2, 'sparse_nvfp4': 2}",0.05,216,4,2,2,,,,16,1024,1278.375500,1278.284119,1278.616956,1278.069336,1279.326782,12.515884,0.99300000,993,7,1000,8,128,8,0,"{'dense_bf16': 216, 'dense_nvfp4': 4, 'sparse_bf16': 2, 'sparse_nvfp4': 2}",[],3,10
random_random_018,random,random_018,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_018.json,16,951.7477211314887,1.0346004879321213,0.06386057202418452,"{'dense_bf16': 202, 'dense_nvfp4': 11, 'sparse_bf16': 2, 'sparse_nvfp4': 9}",0.1,202,11,2,9,,,,16,1024,1271.074023,1271.008606,1271.300500,1270.925293,1271.425415,12.587780,0.99200000,992,8,1000,8,128,22,0,"{'dense_bf16': 202, 'dense_nvfp4': 11, 'sparse_bf16': 2, 'sparse_nvfp4': 9}",[],3,10
random_random_019,random,random_019,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_019.json,16,874.9978273730763,1.1253498304414433,0.13869009518483436,"{'dense_bf16': 175, 'dense_nvfp4': 16, 'sparse_bf16': 14, 'sparse_nvfp4': 19}",0.2,175,16,14,19,,,,16,1024,1215.188452,1214.926880,1216.254871,1213.529419,1216.823853,13.166682,0.99600000,996,4,1000,8,128,49,0,"{'dense_bf16': 175, 'dense_nvfp4': 16, 'sparse_bf16': 14, 'sparse_nvfp4': 19}",[],3,10
random_random_020,random,random_020,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_020.json,16,826.4126136565708,1.191509713669644,0.16304593603707615,"{'dense_bf16': 141, 'dense_nvfp4': 21, 'sparse_bf16': 28, 'sparse_nvfp4': 34}",0.35,141,21,28,34,,,,16,1024,1154.348071,1154.091797,1154.612451,1153.735718,1157.127441,13.860637,0.99600000,996,4,1000,8,128,83,0,"{'dense_bf16': 141, 'dense_nvfp4': 21, 'sparse_bf16': 28, 'sparse_nvfp4': 34}",[],3,10
random_random_021,random,random_021,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_021.json,16,762.277608858508,1.2917585997907703,0.15571892365373002,"{'dense_bf16': 111, 'dense_nvfp4': 40, 'sparse_bf16': 34, 'sparse_nvfp4': 39}",0.5,111,40,34,39,,,,16,1024,1107.920581,1107.853699,1108.322607,1107.718018,1108.346558,14.441468,0.98900000,989,11,1000,8,128,113,0,"{'dense_bf16': 111, 'dense_nvfp4': 40, 'sparse_bf16': 34, 'sparse_nvfp4': 39}",[],3,10
random_random_022,random,random_022,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_022.json,16,684.8451286368074,1.4378121643807813,0.27135435714982636,"{'dense_bf16': 76, 'dense_nvfp4': 45, 'sparse_bf16': 49, 'sparse_nvfp4': 54}",0.65,76,45,49,54,,,,16,1024,1046.926135,1046.908997,1047.152893,1046.719482,1047.261108,15.282836,0.98800000,988,12,1000,8,128,148,0,"{'dense_bf16': 76, 'dense_nvfp4': 45, 'sparse_bf16': 49, 'sparse_nvfp4': 54}",[],3,10
random_random_023,random,random_023,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_023.json,16,639.1425881363442,1.5406243848373744,0.3371648844040635,"{'dense_bf16': 47, 'dense_nvfp4': 60, 'sparse_bf16': 58, 'sparse_nvfp4': 59}",0.8,47,60,58,59,,,,16,1024,1013.778821,1013.886566,1014.151892,1013.230469,1014.184631,15.782535,0.98400000,984,16,1000,8,128,177,0,"{'dense_bf16': 47, 'dense_nvfp4': 60, 'sparse_bf16': 58, 'sparse_nvfp4': 59}",[],3,10
random_random_024,random,random_024,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_024.json,16,552.3197749760993,1.7828053625520341,0.3970428765521181,"{'dense_nvfp4': 77, 'sparse_bf16': 65, 'sparse_nvfp4': 82}",1.0,0,77,65,82,,,,16,1024,930.812671,930.772675,931.078772,930.610046,931.160400,17.189280,0.98200000,982,18,1000,8,128,224,0,"{'dense_nvfp4': 77, 'sparse_bf16': 65, 'sparse_nvfp4': 82}",[],3,10
random_random_025,random,random_025,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_025.json,16,956.925070845278,1.0290028829541786,0.024872269098015404,"{'dense_bf16': 209, 'dense_nvfp4': 5, 'sparse_bf16': 5, 'sparse_nvfp4': 5}",0.05,209,5,5,5,,,,16,1024,1273.388916,1273.316956,1274.186658,1272.804321,1274.589966,12.564897,0.99500000,995,5,1000,8,128,15,0,"{'dense_bf16': 209, 'dense_nvfp4': 5, 'sparse_bf16': 5, 'sparse_nvfp4': 5}",[],3,10
