method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,module_name,module_family,numel,kernel_module_type,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error
dense_nvfp4,layer_type:5:up_proj,layer_type,5,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584612631751133,0.000572808334738717,7.088411469437858,65408,128099.03430175781,1.9578884548403745,model.layers.5.mlp.up_proj,mlp,45088768,NVFP4Linear,2.2671927919957875e-06,0.0074351455114883645,0.08622728983035687,0.0152587890625,0.0007074100566421483,0.015238084898078387,0.1234426380878114,0.203125
dense_nvfp4,layer_type:5:down_proj,layer_type,5,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9577089914370422,-0.00017946340333230282,7.083081063030007,65408,128049.82971191406,1.9578884548403745,model.layers.5.mlp.down_proj,mlp,45088768,NVFP4Linear,2.292649337188016e-06,0.007542478652891024,0.08684744471135017,0.0291748046875,6.393826652129064e-05,0.016554422302350782,0.12866398992084296,0.25
dense_nvfp4,layer_type:6:q_proj,layer_type,6,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581755490685628,0.00028709422818828934,7.086386499583008,65408,128080.34631347656,1.9578884548403745,model.layers.6.self_attn.q_proj,attention,16777216,NVFP4Linear,4.661653292714618e-06,0.007506998213766484,0.08664293516361553,0.0283203125,0.006964267584407935,0.0038778941813051044,0.06227274027457844,0.96875
dense_nvfp4,layer_type:6:k_proj,layer_type,6,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.957867468406543,-2.0986433831637896e-05,7.084203657201915,65408,128060.19537353516,1.9578884548403745,model.layers.6.self_attn.k_proj,attention,16777216,NVFP4Linear,4.848916887567611e-06,0.007507196653770732,0.08664408031579961,0.02587890625,0.007584564184071496,0.0031852856935139606,0.05643833531841598,1.0
dense_nvfp4,layer_type:6:v_proj,layer_type,6,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958268037747497,0.00037958290712247766,7.087041940418732,65408,128086.39581298828,1.9578884548403745,model.layers.6.self_attn.v_proj,attention,16777216,NVFP4Linear,1.4027269799044007e-06,0.007513117433758929,0.08667824083216577,0.0111083984375,0.0017497818016636302,0.01631764393707867,0.12774053364957683,0.3046875
dense_nvfp4,layer_type:6:o_proj,layer_type,6,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579632916795764,7.48368392018417e-05,7.084882521308154,65408,128066.46298217773,1.9578884548403745,model.layers.6.self_attn.o_proj,attention,16777216,NVFP4Linear,1.3671050282937358e-06,0.00753089998036848,0.08678075812280324,0.05859375,3.692042675140783e-05,0.015062286056366616,0.12272850547597577,0.315673828125
dense_nvfp4,layer_type:6:gate_proj,layer_type,6,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9577126339690325,-0.00017582087134204727,7.083106863426358,65408,128050.06796264648,1.9578884548403745,model.layers.6.mlp.gate_proj,mlp,45088768,NVFP4Linear,2.9280010155986907e-06,0.007435039448677671,0.0862266748093516,0.0230712890625,0.0011808878612206426,0.008167746367315877,0.09037558501783476,0.40625
dense_nvfp4,layer_type:6:up_proj,layer_type,6,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584595993773577,0.000571144536983148,7.088399675764576,65408,128098.92547607422,1.9578884548403745,model.layers.6.mlp.up_proj,mlp,45088768,NVFP4Linear,2.2517210603583345e-06,0.0074361300800104375,0.08623299878822746,0.017333984375,0.0008527886868335393,0.015138548959021548,0.12303881078351477,0.21875
dense_nvfp4,layer_type:6:down_proj,layer_type,6,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958284142432614,0.0003956875922395131,7.08715607591665,65408,128087.44918823242,1.9578884548403745,model.layers.6.mlp.down_proj,mlp,45088768,NVFP4Linear,2.2728169380232344e-06,0.007562903962550011,0.08696495824497366,0.036865234375,9.542958378006006e-05,0.016826632261060855,0.12971750946214183,0.5
dense_nvfp4,layer_type:7:q_proj,layer_type,7,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581558615727435,0.0002674067323689133,7.086246987751746,65408,128079.05859375,1.9578884548403745,model.layers.7.self_attn.q_proj,attention,16777216,NVFP4Linear,4.639598955691326e-06,0.0074990472449827095,0.08659703947008067,0.029296875,0.007420904647005955,0.0040875156901430945,0.06393368196923352,0.96875
