n,seed,accuracy,abs_error
300,24,0.9866666666666667,0.0003333333333332966
300,25,0.9833333333333333,0.003666666666666707
300,26,0.98,0.007000000000000006
300,27,0.99,0.0030000000000000027
300,28,0.99,0.0030000000000000027
300,29,0.9933333333333333,0.006333333333333302
500,0,0.986,0.0010000000000000009
500,1,0.988,0.0010000000000000009
500,2,0.99,0.0030000000000000027
500,3,0.986,0.0010000000000000009
500,4,0.99,0.0030000000000000027
500,5,0.986,0.0010000000000000009
500,6,0.98,0.007000000000000006
500,7,0.988,0.0010000000000000009
500,8,0.984,0.0030000000000000027
500,9,0.986,0.0010000000000000009
500,10,0.988,0.0010000000000000009
500,11,0.988,0.0010000000000000009
500,12,0.99,0.0030000000000000027
500,13,0.974,0.013000000000000012
500,14,0.992,0.0050000000000000044
500,15,0.986,0.0010000000000000009
500,16,0.986,0.0010000000000000009
500,17,0.986,0.0010000000000000009
500,18,0.992,0.0050000000000000044
500,19,0.986,0.0010000000000000009
500,20,0.982,0.0050000000000000044
500,21,0.984,0.0030000000000000027
500,22,0.99,0.0030000000000000027
500,23,0.986,0.0010000000000000009
500,24,0.986,0.0010000000000000009
500,25,0.98,0.007000000000000006
500,26,0.982,0.0050000000000000044
500,27,0.99,0.0030000000000000027
500,28,0.99,0.0030000000000000027
500,29,0.994,0.007000000000000006
750,0,0.9826666666666667,0.0043333333333333
750,1,0.9893333333333333,0.0023333333333332984
750,2,0.9866666666666667,0.0003333333333332966
750,3,0.9866666666666667,0.0003333333333332966
750,4,0.992,0.0050000000000000044
750,5,0.988,0.0010000000000000009
750,6,0.9866666666666667,0.0003333333333332966
750,7,0.9893333333333333,0.0023333333333332984
750,8,0.9866666666666667,0.0003333333333332966
