method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer_type:13:gate_proj,layer_type,13,gate_proj,1,1,1.9579744637595697,8.600891919519071e-05,7.084961674624579,65408,128067.19372558594,1.9578884548403745
dense_nvfp4,layer_type:13:up_proj,layer_type,13,up_proj,1,1,1.9578850647241401,-3.3901162344029956e-06,7.0843283141961395,65408,128061.34631347656,1.9578884548403745
dense_nvfp4,layer_type:13:down_proj,layer_type,13,down_proj,1,1,1.9578142595384451,-7.419530192942503e-05,7.083826724772104,65408,128056.71508789062,1.9578884548403745
dense_nvfp4,layer_type:14:q_proj,layer_type,14,q_proj,1,1,1.958139056562211,0.0002506017218364409,7.086127904297084,65408,128077.9594116211,1.9578884548403745
dense_nvfp4,layer_type:14:k_proj,layer_type,14,k_proj,1,1,1.9578085178964992,-7.993694387531391e-05,7.083786052092208,65408,128056.33953857422,1.9578884548403745
dense_nvfp4,layer_type:14:v_proj,layer_type,14,v_proj,1,1,1.9580852402166378,0.0001967853762632199,7.085746565050244,65408,128074.43939208984,1.9578884548403745
dense_nvfp4,layer_type:14:o_proj,layer_type,14,o_proj,1,1,1.9579747954926612,8.634065228663168e-05,7.084964024941208,65408,128067.21542358398,1.9578884548403745
dense_nvfp4,layer_type:14:gate_proj,layer_type,14,gate_proj,1,1,1.9578664820721472,-2.1972768227351835e-05,7.084196669811628,65408,128060.130859375,1.9578884548403745
dense_nvfp4,layer_type:14:up_proj,layer_type,14,up_proj,1,1,1.9577509288451909,-0.0001375259951836849,7.083378115320254,65408,128052.57275390625,1.9578884548403745
dense_nvfp4,layer_type:14:down_proj,layer_type,14,down_proj,1,1,1.958359805571823,0.00047135073144843886,7.0876923326805965,65408,128092.3981628418,1.9578884548403745
dense_nvfp4,layer_type:15:q_proj,layer_type,15,q_proj,1,1,1.957939986846685,5.153200631036192e-05,7.084717411228879,65408,128064.93865966797,1.9578884548403745
dense_nvfp4,layer_type:15:k_proj,layer_type,15,k_proj,1,1,1.9579962582970785,0.00010780345670391434,7.085116089770242,65408,128068.61926269531,1.9578884548403745
dense_nvfp4,layer_type:15:v_proj,layer_type,15,v_proj,1,1,1.9576237518960016,-0.00026470294437297426,7.082477330182361,65408,128044.25436401367,1.9578884548403745
dense_nvfp4,layer_type:15:o_proj,layer_type,15,o_proj,1,1,1.9580334208016292,0.00014496596125468386,7.085379395321687,65408,128071.04998779297,1.9578884548403745
dense_nvfp4,layer_type:15:gate_proj,layer_type,15,gate_proj,1,1,1.9580467927712517,0.00015833793087716153,7.0854741414331945,65408,128071.92462158203,1.9578884548403745
dense_nvfp4,layer_type:15:up_proj,layer_type,15,up_proj,1,1,1.9577355954045186,-0.00015285943585596762,7.083269503594862,65408,128051.56982421875,1.9578884548403745
dense_nvfp4,layer_type:15:down_proj,layer_type,15,down_proj,1,1,1.9579292174188125,4.076257843799169e-05,7.084641113286565,65408,128064.23425292969,1.9578884548403745
dense_nvfp4,layer_type:16:q_proj,layer_type,16,q_proj,1,1,1.9577667447218923,-0.00012171011848227664,7.083490146041086,65408,128053.60723876953,1.9578884548403745
dense_nvfp4,layer_type:16:k_proj,layer_type,16,k_proj,1,1,1.9579757687630253,8.731392265071136e-05,7.08497092053008,65408,128067.27908325195,1.9578884548403745
dense_nvfp4,layer_type:16:v_proj,layer_type,16,v_proj,1,1,1.9581101099339018,0.00022165509352722879,7.085922787755217,65408,128076.06607055664,1.9578884548403745
dense_nvfp4,layer_type:16:o_proj,layer_type,16,o_proj,1,1,1.9581079781638666,0.00021952332349206571,7.085907682213447,65408,128075.92663574219,1.9578884548403745
dense_nvfp4,layer_type:16:gate_proj,layer_type,16,gate_proj,1,1,1.957763226764776,-0.0001252280755985602,7.083465226670351,65408,128053.37713623047,1.9578884548403745
dense_nvfp4,layer_type:16:up_proj,layer_type,16,up_proj,1,1,1.958074834248791,0.0001863794084164816,7.085672831382954,65408,128073.75875854492,1.9578884548403745
dense_nvfp4,layer_type:16:down_proj,layer_type,16,down_proj,1,1,1.9579998588375382,0.00011140399716369487,7.08514160006331,65408,128068.8547668457,1.9578884548403745
dense_nvfp4,layer_type:17:q_proj,layer_type,17,q_proj,1,1,1.9577766187970185,-0.00011183604335607278,7.0835600893002555,65408,128054.25308227539,1.9578884548403745
dense_nvfp4,layer_type:17:k_proj,layer_type,17,k_proj,1,1,1.9577445465991175,-0.00014390824125709578,7.0833329076023555,65408,128052.15530395508,1.9578884548403745
dense_nvfp4,layer_type:17:v_proj,layer_type,17,v_proj,1,1,1.9581259104137085,0.00023745557333398892,7.08603474961966,65408,128077.09954833984,1.9578884548403745
dense_nvfp4,layer_type:17:o_proj,layer_type,17,o_proj,1,1,1.9581528526462921,0.0002643978059175822,7.086225665787822,65408,128078.86178588867,1.9578884548403745
dense_nvfp4,layer_type:17:gate_proj,layer_type,17,gate_proj,1,1,1.957880370071023,-8.084769351546228e-06,7.0842950558102045,65408,128061.03924560547,1.9578884548403745
dense_nvfp4,layer_type:17:up_proj,layer_type,17,up_proj,1,1,1.958004840432781,0.00011638559240645385,7.085176895458913,65408,128069.18060302734,1.9578884548403745
dense_nvfp4,layer_type:17:down_proj,layer_type,17,down_proj,1,1,1.9580782462939357,0.0001897914535611278,7.085697008059781,65408,128073.98193359375,1.9578884548403745
