n,seed,accuracy,abs_error
3000,14,0.9873333333333333,0.0009333333333332305
3000,15,0.9846666666666667,0.0017333333333333645
3000,16,0.987,0.0005999999999999339
3000,17,0.986,0.00040000000000006697
3000,18,0.9846666666666667,0.0017333333333333645
3000,19,0.9856666666666667,0.0007333333333333636
3000,20,0.987,0.0005999999999999339
3000,21,0.9846666666666667,0.0017333333333333645
3000,22,0.9843333333333333,0.002066666666666772
3000,23,0.9876666666666667,0.0012666666666666382
3000,24,0.9856666666666667,0.0007333333333333636
3000,25,0.987,0.0005999999999999339
3000,26,0.9843333333333333,0.002066666666666772
3000,27,0.989,0.0025999999999999357
3000,28,0.9863333333333333,6.666666666677035e-05
3000,29,0.985,0.0014000000000000679
4000,0,0.986,0.00040000000000006697
4000,1,0.9875,0.0010999999999999899
4000,2,0.98575,0.0006500000000000394
4000,3,0.986,0.00040000000000006697
4000,4,0.98575,0.0006500000000000394
4000,5,0.98675,0.00034999999999996145
4000,6,0.986,0.00040000000000006697
4000,7,0.98625,0.0001500000000000945
4000,8,0.98625,0.0001500000000000945
4000,9,0.98475,0.0016500000000000403
4000,10,0.986,0.00040000000000006697
4000,11,0.986,0.00040000000000006697
4000,12,0.98675,0.00034999999999996145
4000,13,0.98775,0.0013499999999999623
4000,14,0.987,0.0005999999999999339
4000,15,0.9855,0.0009000000000000119
4000,16,0.98675,0.00034999999999996145
4000,17,0.985,0.0014000000000000679
4000,18,0.98525,0.0011500000000000954
4000,19,0.98625,0.0001500000000000945
4000,20,0.9875,0.0010999999999999899
4000,21,0.98575,0.0006500000000000394
4000,22,0.986,0.00040000000000006697
4000,23,0.987,0.0005999999999999339
4000,24,0.98775,0.0013499999999999623
4000,25,0.985,0.0014000000000000679
4000,26,0.98575,0.0006500000000000394
4000,27,0.987,0.0005999999999999339
4000,28,0.98575,0.0006500000000000394
4000,29,0.986,0.00040000000000006697
