model,batch_size,input_tokens,output_tokens,scenario,prefill_ms,decode_per_token_ms,first_decode_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_other_pct,decode_other_pct,status
9b,1,8192,256,prefill_decode,1219.6248901367187,27.964948084214154,28.13086071014404,N/A,N/A,N/A,N/A,
9b,4,256,1,prefill_only,151.7579574584961,0.0,28.876620864868165,47.8,29.0,1.5,11.9,
9b,4,256,32,prefill_decode,151.78028106689453,28.851974296569825,28.97779197692871,49.6,30.3,2.1,12.0,
9b,4,256,128,prefill_decode,151.72870483398438,28.78692689129687,28.934118270874023,N/A,N/A,N/A,N/A,
9b,4,256,256,prefill_decode,151.73071899414063,28.799480017119762,28.938768196105958,N/A,N/A,N/A,N/A,
9b,4,1024,1,prefill_only,500.7745635986328,0.0,29.003129768371583,59.9,27.9,0.7,12.2,
9b,4,1024,32,prefill_decode,500.68104858398436,28.671026697466452,28.86937599182129,61.9,28.8,0.9,12.6,
9b,4,1024,128,prefill_decode,500.7138732910156,28.626783429543803,28.85497932434082,N/A,N/A,N/A,N/A,
9b,4,1024,256,prefill_decode,500.68407287597654,28.654417978922528,28.79608325958252,N/A,N/A,N/A,N/A,
9b,4,4096,1,prefill_only,2020.062060546875,0.0,28.976777839660645,54.9,44.0,0.8,9.8,
9b,4,4096,32,prefill_decode,2021.6082641601563,28.662924175877723,28.91924476623535,54.9,28.0,0.8,12.8,
9b,4,4096,128,prefill_decode,2020.7504638671876,28.660497983797327,29.003708839416504,N/A,N/A,N/A,N/A,
9b,4,4096,256,prefill_decode,2018.3781005859375,28.657069907094918,28.893424224853515,N/A,N/A,N/A,N/A,
9b,4,8192,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
9b,4,8192,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,4,8192,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,4,8192,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,256,1,prefill_only,497.81248168945314,0.0,29.144258880615233,62.4,21.5,0.7,10.1,
9b,16,256,32,prefill_decode,497.4799743652344,29.02940121927569,29.134940910339356,62.2,28.1,1.0,13.2,
9b,16,256,128,prefill_decode,496.85821533203125,28.871699626051534,29.082608222961426,N/A,N/A,N/A,N/A,
9b,16,256,256,prefill_decode,496.73948669433594,28.894191869847916,28.976323318481445,N/A,N/A,N/A,N/A,
9b,16,1024,1,prefill_only,1990.573828125,0.0,29.399500846862793,56.5,28.5,0.8,13.6,
9b,16,1024,32,prefill_decode,1992.8699340820312,28.995399967316658,29.331878471374512,55.7,29.0,0.9,13.9,
9b,16,1024,128,prefill_decode,1991.1116333007812,30.53633676964467,31.391225624084473,N/A,N/A,N/A,N/A,
9b,16,1024,256,prefill_decode,1989.5513793945313,29.835942101572073,30.61884479522705,N/A,N/A,N/A,N/A,
9b,16,4096,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
9b,16,4096,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,4096,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,4096,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,8192,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
9b,16,8192,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,8192,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,16,8192,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
