n,seed,accuracy,abs_error
1500,21,0.9833333333333333,0.0018666666666666831
1500,22,0.986,0.0008000000000000229
1500,23,0.984,0.0011999999999999789
1500,24,0.9826666666666667,0.0025333333333332764
1500,25,0.986,0.0008000000000000229
1500,26,0.9833333333333333,0.0018666666666666831
1500,27,0.9866666666666667,0.0014666666666667272
1500,28,0.9893333333333333,0.004133333333333322
1500,29,0.9833333333333333,0.0018666666666666831
2000,0,0.985,0.00019999999999997797
2000,1,0.984,0.0011999999999999789
2000,2,0.984,0.0011999999999999789
2000,3,0.9855,0.000300000000000078
2000,4,0.9835,0.0016999999999999238
2000,5,0.988,0.0028000000000000247
2000,6,0.986,0.0008000000000000229
2000,7,0.9855,0.000300000000000078
2000,8,0.986,0.0008000000000000229
2000,9,0.9835,0.0016999999999999238
2000,10,0.9855,0.000300000000000078
2000,11,0.984,0.0011999999999999789
2000,12,0.9855,0.000300000000000078
2000,13,0.9835,0.0016999999999999238
2000,14,0.984,0.0011999999999999789
2000,15,0.9805,0.0046999999999999265
2000,16,0.9865,0.0013000000000000789
2000,17,0.9885,0.0033000000000000806
2000,18,0.9845,0.0006999999999999229
2000,19,0.9855,0.000300000000000078
2000,20,0.987,0.0018000000000000238
2000,21,0.982,0.0031999999999999806
2000,22,0.985,0.00019999999999997797
2000,23,0.9845,0.0006999999999999229
2000,24,0.9845,0.0006999999999999229
2000,25,0.9885,0.0033000000000000806
2000,26,0.984,0.0011999999999999789
2000,27,0.9865,0.0013000000000000789
2000,28,0.9865,0.0013000000000000789
2000,29,0.9815,0.0036999999999999256
3000,0,0.983,0.0021999999999999797
3000,1,0.9856666666666667,0.0004666666666667263
3000,2,0.9843333333333333,0.0008666666666666822
3000,3,0.985,0.00019999999999997797
3000,4,0.9836666666666667,0.0015333333333332755
3000,5,0.9843333333333333,0.0008666666666666822
3000,6,0.9856666666666667,0.0004666666666667263
3000,7,0.9866666666666667,0.0014666666666667272
3000,8,0.9836666666666667,0.0015333333333332755
3000,9,0.984,0.0011999999999999789
3000,10,0.985,0.00019999999999997797
3000,11,0.9853333333333333,0.00013333333333331865
3000,12,0.9853333333333333,0.00013333333333331865
3000,13,0.985,0.00019999999999997797
3000,14,0.9856666666666667,0.0004666666666667263
3000,15,0.983,0.0021999999999999797
3000,16,0.987,0.0018000000000000238
3000,17,0.9856666666666667,0.0004666666666667263
3000,18,0.9843333333333333,0.0008666666666666822
3000,19,0.985,0.00019999999999997797
3000,20,0.9866666666666667,0.0014666666666667272
3000,21,0.9836666666666667,0.0015333333333332755
3000,22,0.9826666666666667,0.0025333333333332764
3000,23,0.9853333333333333,0.00013333333333331865
3000,24,0.9836666666666667,0.0015333333333332755
3000,25,0.9856666666666667,0.0004666666666667263
3000,26,0.9836666666666667,0.0015333333333332755
3000,27,0.9866666666666667,0.0014666666666667272
3000,28,0.9843333333333333,0.0008666666666666822
3000,29,0.983,0.0021999999999999797
4000,0,0.98425,0.0009500000000000064
4000,1,0.986,0.0008000000000000229
4000,2,0.9845,0.0006999999999999229
4000,3,0.98425,0.0009500000000000064
4000,4,0.9845,0.0006999999999999229
4000,5,0.985,0.00019999999999997797
4000,6,0.9845,0.0006999999999999229
4000,7,0.985,0.00019999999999997797
4000,8,0.98425,0.0009500000000000064
4000,9,0.98425,0.0009500000000000064
4000,10,0.98525,4.999999999999449e-05
4000,11,0.98575,0.0005500000000000504
4000,12,0.986,0.0008000000000000229
4000,13,0.986,0.0008000000000000229
4000,14,0.985,0.00019999999999997797
4000,15,0.984,0.0011999999999999789
4000,16,0.9855,0.000300000000000078
4000,17,0.98425,0.0009500000000000064
4000,18,0.98425,0.0009500000000000064
4000,19,0.9855,0.000300000000000078
4000,20,0.9855,0.000300000000000078
4000,21,0.98425,0.0009500000000000064
4000,22,0.98425,0.0009500000000000064
4000,23,0.98575,0.0005500000000000504
4000,24,0.98575,0.0005500000000000504
4000,25,0.98425,0.0009500000000000064
4000,26,0.9845,0.0006999999999999229
4000,27,0.985,0.00019999999999997797
4000,28,0.9845,0.0006999999999999229
4000,29,0.98425,0.0009500000000000064
