key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count
random_random_013,random,random_013,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_013.json,16,737.9842733490485,1.3342813556206958,0.1950795732318729,"{'dense_bf16': 107, 'dense_nvfp4': 38, 'sparse_bf16': 41, 'sparse_nvfp4': 38}",0.5,107,38,41,38,,,
random_random_014,random,random_014,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_014.json,16,701.443512144295,1.4037889575181686,0.2237390977659107,"{'dense_bf16': 81, 'dense_nvfp4': 41, 'sparse_bf16': 58, 'sparse_nvfp4': 44}",0.65,81,41,58,44,,,
random_random_015,random,random_015,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_015.json,16,661.6631301825859,1.488187284062814,0.32358571436548555,"{'dense_bf16': 58, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 54}",0.8,58,54,58,54,,,
random_random_016,random,random_016,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_016.json,16,546.2364812791427,1.8026600024316635,0.2965942331375441,"{'dense_nvfp4': 84, 'sparse_bf16': 65, 'sparse_nvfp4': 75}",1.0,0,84,65,75,,,
random_random_017,random,random_017,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_017.json,16,975.3681066359117,1.0095456781615748,0.006459707675125479,"{'dense_bf16': 216, 'dense_nvfp4': 4, 'sparse_bf16': 2, 'sparse_nvfp4': 2}",0.05,216,4,2,2,,,
random_random_018,random,random_018,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_018.json,16,951.7477211314887,1.0346004879321213,0.06386057202418452,"{'dense_bf16': 202, 'dense_nvfp4': 11, 'sparse_bf16': 2, 'sparse_nvfp4': 9}",0.1,202,11,2,9,,,
random_random_019,random,random_019,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_019.json,16,874.9978273730763,1.1253498304414433,0.13869009518483436,"{'dense_bf16': 175, 'dense_nvfp4': 16, 'sparse_bf16': 14, 'sparse_nvfp4': 19}",0.2,175,16,14,19,,,
random_random_020,random,random_020,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_020.json,16,826.4126136565708,1.191509713669644,0.16304593603707615,"{'dense_bf16': 141, 'dense_nvfp4': 21, 'sparse_bf16': 28, 'sparse_nvfp4': 34}",0.35,141,21,28,34,,,
random_random_021,random,random_021,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_021.json,16,762.277608858508,1.2917585997907703,0.15571892365373002,"{'dense_bf16': 111, 'dense_nvfp4': 40, 'sparse_bf16': 34, 'sparse_nvfp4': 39}",0.5,111,40,34,39,,,
random_random_022,random,random_022,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_022.json,16,684.8451286368074,1.4378121643807813,0.27135435714982636,"{'dense_bf16': 76, 'dense_nvfp4': 45, 'sparse_bf16': 49, 'sparse_nvfp4': 54}",0.65,76,45,49,54,,,
random_random_023,random,random_023,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_023.json,16,639.1425881363442,1.5406243848373744,0.3371648844040635,"{'dense_bf16': 47, 'dense_nvfp4': 60, 'sparse_bf16': 58, 'sparse_nvfp4': 59}",0.8,47,60,58,59,,,
random_random_024,random,random_024,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_024.json,16,552.3197749760993,1.7828053625520341,0.3970428765521181,"{'dense_nvfp4': 77, 'sparse_bf16': 65, 'sparse_nvfp4': 82}",1.0,0,77,65,82,,,
random_random_025,random,random_025,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_025.json,16,956.925070845278,1.0290028829541786,0.024872269098015404,"{'dense_bf16': 209, 'dense_nvfp4': 5, 'sparse_bf16': 5, 'sparse_nvfp4': 5}",0.05,209,5,5,5,,,
random_random_026,random,random_026,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_026.json,16,934.6820161872437,1.0534905343398233,0.030276366254338258,"{'dense_bf16': 202, 'dense_nvfp4': 9, 'sparse_bf16': 7, 'sparse_nvfp4': 6}",0.1,202,9,7,6,,,
random_random_027,random,random_027,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_027.json,16,880.9263457215327,1.1177763742148163,0.04410650315252475,"{'dense_bf16': 171, 'dense_nvfp4': 21, 'sparse_bf16': 20, 'sparse_nvfp4': 12}",0.2,171,21,20,12,,,
random_random_028,random,random_028,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_028.json,16,840.0403244621502,1.1721802251592857,0.12097913654388483,"{'dense_bf16': 146, 'dense_nvfp4': 24, 'sparse_bf16': 30, 'sparse_nvfp4': 24}",0.35,146,24,30,24,,,
random_random_029,random,random_029,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_029.json,16,789.4338966212364,1.247322493859626,0.15249003990618432,"{'dense_bf16': 118, 'dense_nvfp4': 30, 'sparse_bf16': 40, 'sparse_nvfp4': 36}",0.5,118,30,40,36,,,
random_random_030,random,random_030,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_030.json,16,689.5687981570251,1.4279628940616549,0.20338572748097272,"{'dense_bf16': 75, 'dense_nvfp4': 45, 'sparse_bf16': 54, 'sparse_nvfp4': 50}",0.65,75,45,54,50,,,
neighborhood_neighborhood_001,neighborhood,neighborhood_001,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_001.json,16,962.4792730577161,1.0230647913514865,0.026773063215129938,"{'dense_bf16': 213, 'dense_nvfp4': 4, 'sparse_bf16': 4, 'sparse_nvfp4': 3}",,213,4,4,3,0,0.05,
neighborhood_neighborhood_002,neighborhood,neighborhood_002,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_002.json,16,954.2318635894542,1.031907122622105,0.024748659165643568,"{'dense_bf16': 202, 'dense_nvfp4': 8, 'sparse_bf16': 7, 'sparse_nvfp4': 7}",,202,8,7,7,0,0.1,
neighborhood_neighborhood_003,neighborhood,neighborhood_003,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_003.json,16,922.490786819162,1.06741299830884,0.09917417687937007,"{'dense_bf16': 190, 'dense_nvfp4': 10, 'sparse_bf16': 9, 'sparse_nvfp4': 15}",,190,10,9,15,0,0.15,
neighborhood_neighborhood_004,neighborhood,neighborhood_004,artifacts/debug/025_fakevlm_pareto_search_audit/policies/neighborhood/neighborhood_004.json,16,898.0797056719255,1.0964267987040255,0.0797973506931961,"{'dense_bf16': 179, 'dense_nvfp4': 14, 'sparse_bf16': 14, 'sparse_nvfp4': 17}",,179,14,14,17,0,0.2,
