key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_055,55,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_055_random.json,random_mixed,0.7575197401,0.1333851483,2.1329793113,721498,546548.977440,0.6241345918,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 49, 'sparse_bf16': 62, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_047,47,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_047_random.json,random_mixed,0.7272971124,0.1031625206,2.0694794710,721498,524743.411989,0.6241345918,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 50, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_031,31,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_031_random.json,random_mixed,0.7502435288,0.1261089370,2.1175156299,721498,541299.205556,0.6241345918,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 55, 'sparse_bf16': 53, 'sparse_nvfp4': 64}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_006,6,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_006_dense_nvfp4_r0.5.json,dense_nvfp4_ratio_0.5,0.6255994888,0.0014648970,1.8693662857,721498,451368.779974,0.6241345918,112,0,"{'dense_bf16': 112, 'dense_nvfp4': 112}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_022,22,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_022_sparse_nvfp4_r0.5.json,sparse_nvfp4_ratio_0.5,0.8069469622,0.1828123704,2.2410555045,721498,582210.619366,0.6241345918,112,0,"{'dense_bf16': 112, 'sparse_nvfp4': 112}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_014,14,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_014_sparse_bf16_r0.5.json,sparse_bf16_ratio_0.5,0.6617263230,0.0375917312,1.9381352957,721498,477434.218618,0.6241345918,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_040,40,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_040_random.json,random_mixed,0.6927297452,0.0685951534,1.9991653036,721498,499803.125721,0.6241345918,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 61, 'sparse_bf16': 59, 'sparse_nvfp4': 48}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_056,56,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_056_random.json,random_mixed,0.7276835542,0.1035489624,2.0702793589,721498,525022.228967,0.6241345918,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_048,48,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_048_random.json,random_mixed,0.6917126788,0.0675780870,1.9971330533,721498,499069.314321,0.6241345918,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 61, 'sparse_bf16': 56, 'sparse_nvfp4': 45}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_032,32,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_032_random.json,random_mixed,0.7262837961,0.1021492043,2.0673834959,721498,524012.306306,0.6241345918,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 57, 'sparse_bf16': 46, 'sparse_nvfp4': 65}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_007,7,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_007_dense_nvfp4_r0.75.json,dense_nvfp4_ratio_0.75,0.6249191651,0.0007845733,1.8680949441,721498,450877.927798,0.6241345918,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 168}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_023,23,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_023_sparse_nvfp4_r0.75.json,sparse_nvfp4_ratio_0.75,1.1544743906,0.5303397988,3.1723555594,721498,832950.963879,0.6241345918,168,0,"{'dense_bf16': 56, 'sparse_nvfp4': 168}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_015,15,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_015_sparse_bf16_r0.75.json,sparse_bf16_ratio_0.75,0.7486947082,0.1245601164,2.1142385166,721498,540181.734611,0.6241345918,168,0,"{'dense_bf16': 56, 'sparse_bf16': 168}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_008,8,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_008_dense_nvfp4_r1.json,dense_nvfp4_ratio_1,0.6260123558,0.0018777640,1.8701382448,721498,451666.662695,0.6241345918,224,0,{'dense_nvfp4': 224},[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_024,24,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_024_sparse_nvfp4_r1.json,sparse_nvfp4_ratio_1,3.0426314374,2.4184968456,20.9603265166,721498,2195252.496831,0.6241345918,224,0,{'sparse_nvfp4': 224},[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_016,16,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_016_sparse_bf16_r1.json,sparse_bf16_ratio_1,0.8567604606,0.2326258688,2.3555175285,721498,618150.958835,0.6241345918,224,0,{'sparse_bf16': 224},[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
