n,seed,accuracy,abs_error
1000,17,0.769,0.00040000000000006697
1000,18,0.774,0.005400000000000071
1000,19,0.782,0.013400000000000079
1000,20,0.78,0.011400000000000077
1000,21,0.779,0.010400000000000076
1000,22,0.781,0.012400000000000078
1000,23,0.767,0.0015999999999999348
1000,24,0.744,0.024599999999999955
1000,25,0.763,0.005599999999999938
1000,26,0.746,0.022599999999999953
1000,27,0.782,0.013400000000000079
1000,28,0.777,0.008400000000000074
1000,29,0.758,0.010599999999999943
1500,0,0.7646666666666667,0.003933333333333233
1500,1,0.7553333333333333,0.013266666666666649
1500,2,0.7626666666666667,0.005933333333333235
1500,3,0.7673333333333333,0.0012666666666666382
1500,4,0.77,0.0014000000000000679
1500,5,0.776,0.007400000000000073
1500,6,0.7773333333333333,0.00873333333333337
1500,7,0.7613333333333333,0.0072666666666666435
1500,8,0.768,0.0005999999999999339
1500,9,0.7593333333333333,0.009266666666666645
1500,10,0.7833333333333333,0.014733333333333376
1500,11,0.778,0.009400000000000075
1500,12,0.776,0.007400000000000073
1500,13,0.774,0.005400000000000071
1500,14,0.7686666666666667,6.666666666677035e-05
1500,15,0.7646666666666667,0.003933333333333233
1500,16,0.7646666666666667,0.003933333333333233
1500,17,0.7746666666666666,0.006066666666666665
1500,18,0.7713333333333333,0.0027333333333333654
1500,19,0.7753333333333333,0.006733333333333369
1500,20,0.7713333333333333,0.0027333333333333654
1500,21,0.7773333333333333,0.00873333333333337
1500,22,0.77,0.0014000000000000679
1500,23,0.7613333333333333,0.0072666666666666435
1500,24,0.762,0.006599999999999939
1500,25,0.7746666666666666,0.006066666666666665
1500,26,0.764,0.0045999999999999375
1500,27,0.782,0.013400000000000079
1500,28,0.7693333333333333,0.0007333333333333636
1500,29,0.7646666666666667,0.003933333333333233
2000,0,0.7715,0.0029000000000000137
2000,1,0.749,0.01959999999999995
2000,2,0.761,0.00759999999999994
2000,3,0.766,0.0025999999999999357
2000,4,0.763,0.005599999999999938
2000,5,0.7755,0.006900000000000017
2000,6,0.778,0.009400000000000075
2000,7,0.761,0.00759999999999994
2000,8,0.7685,9.999999999998899e-05
2000,9,0.7555,0.0131
2000,10,0.774,0.005400000000000071
2000,11,0.771,0.0024000000000000687
2000,12,0.786,0.017400000000000082
2000,13,0.7705,0.0019000000000000128
2000,14,0.77,0.0014000000000000679
2000,15,0.7645,0.0040999999999999925
2000,16,0.761,0.00759999999999994
2000,17,0.7795,0.01090000000000002
2000,18,0.7705,0.0019000000000000128
2000,19,0.7795,0.01090000000000002
2000,20,0.7715,0.0029000000000000137
2000,21,0.771,0.0024000000000000687
2000,22,0.7685,9.999999999998899e-05
2000,23,0.766,0.0025999999999999357
2000,24,0.7605,0.008099999999999996
2000,25,0.772,0.0034000000000000696
2000,26,0.7655,0.0030999999999999917
2000,27,0.779,0.010400000000000076
2000,28,0.7695,0.0009000000000000119
2000,29,0.769,0.00040000000000006697
3000,0,0.7683333333333333,0.0002666666666666373
3000,1,0.7576666666666667,0.01093333333333324
3000,2,0.764,0.0045999999999999375
3000,3,0.7706666666666667,0.002066666666666772
3000,4,0.7653333333333333,0.00326666666666664
3000,5,0.7706666666666667,0.002066666666666772
3000,6,0.7706666666666667,0.002066666666666772
3000,7,0.7673333333333333,0.0012666666666666382
3000,8,0.768,0.0005999999999999339
3000,9,0.7553333333333333,0.013266666666666649
3000,10,0.7703333333333333,0.0017333333333333645
3000,11,0.773,0.0044000000000000705
3000,12,0.78,0.011400000000000077
3000,13,0.7756666666666666,0.0070666666666666655
3000,14,0.7676666666666667,0.0009333333333332305
3000,15,0.7613333333333333,0.0072666666666666435
3000,16,0.768,0.0005999999999999339
3000,17,0.7723333333333333,0.0037333333333333663
3000,18,0.766,0.0025999999999999357
3000,19,0.7733333333333333,0.004733333333333367
3000,20,0.7743333333333333,0.005733333333333368
3000,21,0.768,0.0005999999999999339
3000,22,0.7686666666666667,6.666666666677035e-05
3000,23,0.767,0.0015999999999999348
3000,24,0.764,0.0045999999999999375
3000,25,0.767,0.0015999999999999348
3000,26,0.7696666666666667,0.0010666666666667712
3000,27,0.7773333333333333,0.00873333333333337
3000,28,0.777,0.008400000000000074
3000,29,0.7616666666666667,0.006933333333333236
