name,backend,n,k,predicted_latency_ms,reason
backbone.layer.18.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.19.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.20.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
