method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,16,272,2048,2176,2,353.6032550036907
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,16,272,4096,4352,0,489.6953273564577
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,16,272,4096,4352,1,489.3490206450224
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,16,272,4096,4352,2,489.88874442875385
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,16,272,8192,8704,0,782.7036827802658
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,16,272,8192,8704,1,781.9488123059273
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,16,272,8192,8704,2,782.1902632713318
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,16,272,16384,17408,0,1351.3811845332384
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,16,272,16384,17408,1,1352.3967023938894
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,16,272,16384,17408,2,1350.1282129436731
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,16,272,32768,34816,0,2746.70784547925
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,16,272,32768,34816,1,2746.056590229273
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,16,272,32768,34816,2,2747.101990506053
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,16,272,65536,69632,0,5292.198250070214
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,16,272,65536,69632,1,5293.695596978068
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,16,272,65536,69632,2,5291.564179584384
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,16,272,131072,139264,0,10386.321693658829
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,16,272,131072,139264,1,10334.143394604325
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,16,272,131072,139264,2,10335.827985778451
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,64,320,256,320,0,738.3616659790277
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,64,320,256,320,1,741.5782380849123
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,64,320,256,320,2,750.1044888049364
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,64,320,512,640,0,793.5360725969076
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,64,320,512,640,1,792.9689418524504
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,64,320,512,640,2,793.4101484715939
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,64,320,1024,1280,0,858.3854362368584
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,64,320,1024,1280,1,862.0369769632816
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,64,320,1024,1280,2,857.7988110482693
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,64,320,2048,2560,0,963.1380047649145
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,64,320,2048,2560,1,960.889421403408
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,64,320,2048,2560,2,962.0125107467175
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,64,320,4096,5120,0,1153.7363175302744
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,64,320,4096,5120,1,1154.602061957121
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,64,320,4096,5120,2,1156.7341964691877
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,64,320,8192,10240,0,1660.9449647367
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,64,320,8192,10240,1,1663.4230557829142
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,64,320,8192,10240,2,1656.461013481021
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,64,320,16384,20480,0,2369.996787980199
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,64,320,16384,20480,1,2370.918123051524
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,64,320,16384,20480,2,2382.04537704587
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,64,320,32768,40960,0,5366.994483396411
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,64,320,32768,40960,1,5369.58085000515
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,64,320,32768,40960,2,5365.955870598555
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,64,320,65536,81920,0,9718.71818229556
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,64,320,65536,81920,1,9606.191024184227
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,64,320,65536,81920,2,9602.634750306606
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,64,320,131072,163840,0,19166.171243414283
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,64,320,131072,163840,1,19082.827934995294
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,64,320,131072,163840,2,18992.579393088818
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,128,384,256,384,0,1520.635686814785
