name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.13.self_attn.q_proj,model.language_model.layers.13.self_attn.q_proj,92,13,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.13.self_attn.k_proj,model.language_model.layers.13.self_attn.k_proj,93,13,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.13.self_attn.v_proj,model.language_model.layers.13.self_attn.v_proj,94,13,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.13.self_attn.o_proj,model.language_model.layers.13.self_attn.o_proj,95,13,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.13.mlp.gate_proj,model.language_model.layers.13.mlp.gate_proj,96,13,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.13.mlp.up_proj,model.language_model.layers.13.mlp.up_proj,97,13,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.13.mlp.down_proj,model.language_model.layers.13.mlp.down_proj,98,13,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,1.9135158399960388
model.language_model.layers.14.self_attn.q_proj,model.language_model.layers.14.self_attn.q_proj,99,14,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.14.self_attn.k_proj,model.language_model.layers.14.self_attn.k_proj,100,14,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.14.self_attn.v_proj,model.language_model.layers.14.self_attn.v_proj,101,14,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.14.self_attn.o_proj,model.language_model.layers.14.self_attn.o_proj,102,14,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.14.mlp.gate_proj,model.language_model.layers.14.mlp.gate_proj,103,14,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.14.mlp.up_proj,model.language_model.layers.14.mlp.up_proj,104,14,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.14.mlp.down_proj,model.language_model.layers.14.mlp.down_proj,105,14,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,1.9135158399960388
model.language_model.layers.15.self_attn.q_proj,model.language_model.layers.15.self_attn.q_proj,106,15,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.15.self_attn.k_proj,model.language_model.layers.15.self_attn.k_proj,107,15,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.15.self_attn.v_proj,model.language_model.layers.15.self_attn.v_proj,108,15,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.15.self_attn.o_proj,model.language_model.layers.15.self_attn.o_proj,109,15,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.15.mlp.gate_proj,model.language_model.layers.15.mlp.gate_proj,110,15,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.15.mlp.up_proj,model.language_model.layers.15.mlp.up_proj,111,15,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.15.mlp.down_proj,model.language_model.layers.15.mlp.down_proj,112,15,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,1.9135158399960388
model.language_model.layers.16.self_attn.q_proj,model.language_model.layers.16.self_attn.q_proj,113,16,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.16.self_attn.k_proj,model.language_model.layers.16.self_attn.k_proj,114,16,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.16.self_attn.v_proj,model.language_model.layers.16.self_attn.v_proj,115,16,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.16.self_attn.o_proj,model.language_model.layers.16.self_attn.o_proj,116,16,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.16.mlp.gate_proj,model.language_model.layers.16.mlp.gate_proj,117,16,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.16.mlp.up_proj,model.language_model.layers.16.mlp.up_proj,118,16,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.16.mlp.down_proj,model.language_model.layers.16.mlp.down_proj,119,16,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,1.9135158399960388
model.language_model.layers.17.self_attn.q_proj,model.language_model.layers.17.self_attn.q_proj,120,17,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.17.self_attn.k_proj,model.language_model.layers.17.self_attn.k_proj,121,17,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.17.self_attn.v_proj,model.language_model.layers.17.self_attn.v_proj,122,17,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.17.self_attn.o_proj,model.language_model.layers.17.self_attn.o_proj,123,17,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.17.mlp.gate_proj,model.language_model.layers.17.mlp.gate_proj,124,17,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.17.mlp.up_proj,model.language_model.layers.17.mlp.up_proj,125,17,up_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
model.language_model.layers.17.mlp.down_proj,model.language_model.layers.17.mlp.down_proj,126,17,down_proj,mlp,4096,11008,dense_bf16,dense_bf16,0.0,1.9135158399960388
model.language_model.layers.18.self_attn.q_proj,model.language_model.layers.18.self_attn.q_proj,127,18,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.18.self_attn.k_proj,model.language_model.layers.18.self_attn.k_proj,128,18,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.18.self_attn.v_proj,model.language_model.layers.18.self_attn.v_proj,129,18,v_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.18.self_attn.o_proj,model.language_model.layers.18.self_attn.o_proj,130,18,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,0.762176
model.language_model.layers.18.mlp.gate_proj,model.language_model.layers.18.mlp.gate_proj,131,18,gate_proj,mlp,11008,4096,dense_bf16,dense_bf16,0.0,1.8145698935670962
