policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens,split,policy_kind
p50,prefill_decode,100,1.983379703760147,1.90317200756073,2.136614443063736,2.029991638183594,0.1532347393035891,0.12681963062286394,10.298805189132704,8000,8000,train,balanced_mixed
p51,prefill_decode,100,1.983379703760147,1.90317200756073,2.264382481575012,2.1895196952819824,0.28100277781486516,0.2863476877212525,23.188817795515067,8000,8000,train,balanced_mixed
p52,prefill_decode,100,1.983379703760147,1.90317200756073,2.021979787349701,2.177871412277222,0.03860008358955391,0.2746994047164919,22.014552460908906,8000,8000,train,balanced_mixed
p53,prefill_decode,100,1.983379703760147,1.90317200756073,2.0869671475887297,2.0912625207901,0.10358744382858265,0.18809051322936998,15.15082850217818,8000,8000,train,balanced_mixed
p54,prefill_decode,100,1.983379703760147,1.90317200756073,2.114858002662659,2.0744302711486817,0.13147829890251184,0.17125826358795182,13.832139385938657,8000,8000,holdout,balanced_mixed
p55,prefill_decode,100,1.983379703760147,1.90317200756073,2.1790182161331177,2.1239003353118897,0.1956385123729707,0.2207283277511598,17.853904732465754,8000,8000,holdout,balanced_mixed
p56,prefill_decode,100,1.983379703760147,1.90317200756073,2.2831736183166504,2.467708945274353,0.2997939145565034,0.5645369377136231,45.46274893164635,8000,8000,holdout,balanced_mixed
p57,prefill_decode,100,1.983379703760147,1.90317200756073,2.0334680247306824,2.108818160057068,0.050088320970535394,0.205646152496338,16.501780520677574,8000,8000,holdout,balanced_mixed
p58,prefill_decode,100,1.983379703760147,1.90317200756073,2.047573137283325,2.1460462303161623,0.06419343352317797,0.24287422275543236,19.494131253957768,8000,8000,holdout,balanced_mixed
p59,prefill_decode,100,1.983379703760147,1.90317200756073,2.122685738801956,2.053163234710693,0.13930603504180916,0.14999122714996327,12.13860420703887,8000,8000,holdout,balanced_mixed
p60,prefill_decode,100,1.983379703760147,1.90317200756073,2.2779535269737243,2.586669927597046,0.2945738232135773,0.683497920036316,54.97440742611886,8000,8000,holdout,balanced_mixed
p61,prefill_decode,100,1.983379703760147,1.90317200756073,2.223397891521454,2.1775873422622682,0.2400181877613068,0.27441533470153834,22.193244963884375,8000,8000,holdout,balanced_mixed
p62,prefill_decode,100,1.983379703760147,1.90317200756073,2.0412000751495363,1.9958846583366394,0.057820371389389225,0.09271265077590951,7.47483243346215,8000,8000,holdout,balanced_mixed
p63,prefill_decode,100,1.983379703760147,1.90317200756073,2.0524717700481414,2.58594317817688,0.06909206628799436,0.6827711706161499,54.690785715579985,8000,8000,holdout,balanced_mixed
p64,prefill_decode,100,1.983379703760147,1.90317200756073,2.1088657009601595,2.1319482822418214,0.1254859972000124,0.22877627468109152,18.427587971687334,8000,8000,holdout,balanced_mixed
p65,prefill_decode,100,1.983379703760147,1.90317200756073,2.140727562904358,2.023070342063904,0.1573478591442108,0.11989833450317411,9.74921461939814,8000,8000,holdout,balanced_mixed
p66,prefill_decode,100,1.983379703760147,1.90317200756073,2.342008720636368,2.2445158910751344,0.35862901687622073,0.3413438835144045,27.66613969802858,8000,8000,holdout,balanced_mixed
p67,prefill_decode,100,1.983379703760147,1.90317200756073,2.0674933314323427,2.1574268856048584,0.08411362767219566,0.2542548780441285,20.424503871202475,8000,8000,holdout,balanced_mixed
p68,prefill_decode,100,1.983379703760147,1.90317200756073,2.073981275558472,2.1033463058471678,0.09060157179832484,0.20017429828643785,16.10454543471335,8000,8000,holdout,balanced_mixed
p69,prefill_decode,100,1.983379703760147,1.90317200756073,2.055430037975311,1.943826955795288,0.07205033421516416,0.040654948234558175,3.324446192979818,8000,8000,holdout,balanced_mixed
p70,prefill_decode,100,1.983379703760147,1.90317200756073,2.213709101676941,2.145961196899414,0.23032939791679374,0.24278918933868399,19.653464545011513,8000,8000,holdout,balanced_mixed
p71,prefill_decode,100,1.983379703760147,1.90317200756073,2.2133578670024874,2.3024460582733153,0.22997816324234033,0.39927405071258537,32.17190222024917,8000,8000,holdout,balanced_mixed
