name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.9.mlp.gate_proj,model.language_model.layers.9.mlp.gate_proj,68,9,gate_proj,mlp,11008,4096,sparse_bf16,sparse_bf16,0.00023254608085268802,3.3904291110950173
model.language_model.layers.9.mlp.up_proj,model.language_model.layers.9.mlp.up_proj,69,9,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.004237193859852564,2.5708457841501398
model.language_model.layers.9.mlp.down_proj,model.language_model.layers.9.mlp.down_proj,70,9,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.0003637900164576182,3.4039856523906575
model.language_model.layers.10.self_attn.q_proj,model.language_model.layers.10.self_attn.q_proj,71,10,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00019347343234582716,1.257995
model.language_model.layers.10.self_attn.k_proj,model.language_model.layers.10.self_attn.k_proj,72,10,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00015106835394455365,1.257995
model.language_model.layers.10.self_attn.v_proj,model.language_model.layers.10.self_attn.v_proj,73,10,v_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,0.00011998945561727089,1.969835
model.language_model.layers.10.self_attn.o_proj,model.language_model.layers.10.self_attn.o_proj,74,10,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00042582569607923484,1.257995
model.language_model.layers.10.mlp.gate_proj,model.language_model.layers.10.mlp.gate_proj,75,10,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.001287088249788909,2.5708457841501398
model.language_model.layers.10.mlp.up_proj,model.language_model.layers.10.mlp.up_proj,76,10,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0024733638388636766,2.5708457841501398
model.language_model.layers.10.mlp.down_proj,model.language_model.layers.10.mlp.down_proj,77,10,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.0003584617811093596,3.4039856523906575
model.language_model.layers.11.self_attn.q_proj,model.language_model.layers.11.self_attn.q_proj,78,11,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00020570265108550706,1.257995
model.language_model.layers.11.self_attn.k_proj,model.language_model.layers.11.self_attn.k_proj,79,11,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00015568564034885483,1.257995
model.language_model.layers.11.self_attn.v_proj,model.language_model.layers.11.self_attn.v_proj,80,11,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.000322413395386906,1.257995
model.language_model.layers.11.self_attn.o_proj,model.language_model.layers.11.self_attn.o_proj,81,11,o_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.11.mlp.gate_proj,model.language_model.layers.11.mlp.gate_proj,82,11,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.002527839577389547,2.5708457841501398
model.language_model.layers.11.mlp.up_proj,model.language_model.layers.11.mlp.up_proj,83,11,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.004865581039016628,2.5708457841501398
model.language_model.layers.11.mlp.down_proj,model.language_model.layers.11.mlp.down_proj,84,11,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.0003390444674997054,3.4039856523906575
model.language_model.layers.12.self_attn.q_proj,model.language_model.layers.12.self_attn.q_proj,85,12,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00021312689135329806,1.257995
model.language_model.layers.12.self_attn.k_proj,model.language_model.layers.12.self_attn.k_proj,86,12,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001683585425261659,1.257995
model.language_model.layers.12.self_attn.v_proj,model.language_model.layers.12.self_attn.v_proj,87,12,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0003152461937717265,1.257995
model.language_model.layers.12.self_attn.o_proj,model.language_model.layers.12.self_attn.o_proj,88,12,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0004392080687790833,1.257995
model.language_model.layers.12.mlp.gate_proj,model.language_model.layers.12.mlp.gate_proj,89,12,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0017415947104516846,2.5708457841501398
model.language_model.layers.12.mlp.up_proj,model.language_model.layers.12.mlp.up_proj,90,12,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0031605307050804844,2.5708457841501398
model.language_model.layers.12.mlp.down_proj,model.language_model.layers.12.mlp.down_proj,91,12,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00036265732660675077,3.4039856523906575
model.language_model.layers.13.self_attn.q_proj,model.language_model.layers.13.self_attn.q_proj,92,13,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00021620052190988312,1.257995
model.language_model.layers.13.self_attn.k_proj,model.language_model.layers.13.self_attn.k_proj,93,13,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00017269766748301035,1.257995
model.language_model.layers.13.self_attn.v_proj,model.language_model.layers.13.self_attn.v_proj,94,13,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00033793662881910795,1.257995
model.language_model.layers.13.self_attn.o_proj,model.language_model.layers.13.self_attn.o_proj,95,13,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00035476247171883945,1.257995
model.language_model.layers.13.mlp.gate_proj,model.language_model.layers.13.mlp.gate_proj,96,13,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.00217581412721642,2.5708457841501398
model.language_model.layers.13.mlp.up_proj,model.language_model.layers.13.mlp.up_proj,97,13,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.004017378107239645,2.5708457841501398
model.language_model.layers.13.mlp.down_proj,model.language_model.layers.13.mlp.down_proj,98,13,down_proj,mlp,4096,11008,sparse_nvfp4,sparse_nvfp4,0.003907374571620766,4.5866232192169125
model.language_model.layers.14.self_attn.q_proj,model.language_model.layers.14.self_attn.q_proj,99,14,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00022039704753399993,1.257995
model.language_model.layers.14.self_attn.k_proj,model.language_model.layers.14.self_attn.k_proj,100,14,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00016629169118486417,1.257995
model.language_model.layers.14.self_attn.v_proj,model.language_model.layers.14.self_attn.v_proj,101,14,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00033053377759178007,1.257995
model.language_model.layers.14.self_attn.o_proj,model.language_model.layers.14.self_attn.o_proj,102,14,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0004386896409808563,1.257995
model.language_model.layers.14.mlp.gate_proj,model.language_model.layers.14.mlp.gate_proj,103,14,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0018762416194775986,2.5708457841501398
model.language_model.layers.14.mlp.up_proj,model.language_model.layers.14.mlp.up_proj,104,14,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.003332737617341117,2.5708457841501398
model.language_model.layers.14.mlp.down_proj,model.language_model.layers.14.mlp.down_proj,105,14,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00036306406427089174,3.4039856523906575
model.language_model.layers.15.self_attn.q_proj,model.language_model.layers.15.self_attn.q_proj,106,15,q_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,4.8218925251841e-05,1.969835
model.language_model.layers.15.self_attn.k_proj,model.language_model.layers.15.self_attn.k_proj,107,15,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0009983485209429015,1.8060494999999999
model.language_model.layers.15.self_attn.v_proj,model.language_model.layers.15.self_attn.v_proj,108,15,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00032097688864216186,1.257995
model.language_model.layers.15.self_attn.o_proj,model.language_model.layers.15.self_attn.o_proj,109,15,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00042188093044439923,1.257995
model.language_model.layers.15.mlp.gate_proj,model.language_model.layers.15.mlp.gate_proj,110,15,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0022203983941175066,2.5708457841501398
model.language_model.layers.15.mlp.up_proj,model.language_model.layers.15.mlp.up_proj,111,15,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0036828508255071757,2.5708457841501398
model.language_model.layers.15.mlp.down_proj,model.language_model.layers.15.mlp.down_proj,112,15,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00032246166008866755,3.4039856523906575
model.language_model.layers.16.self_attn.q_proj,model.language_model.layers.16.self_attn.q_proj,113,16,q_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.16.self_attn.k_proj,model.language_model.layers.16.self_attn.k_proj,114,16,k_proj,attention,4096,4096,dense_bf16,dense_bf16,0.0,2.441358
model.language_model.layers.16.self_attn.v_proj,model.language_model.layers.16.self_attn.v_proj,115,16,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.009605852426075194,1.8060494999999999
model.language_model.layers.16.self_attn.o_proj,model.language_model.layers.16.self_attn.o_proj,116,16,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00042865325756525475,1.257995
model.language_model.layers.16.mlp.gate_proj,model.language_model.layers.16.mlp.gate_proj,117,16,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0014648547137939398,2.5708457841501398
model.language_model.layers.16.mlp.up_proj,model.language_model.layers.16.mlp.up_proj,118,16,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0023901228931176525,2.5708457841501398
model.language_model.layers.16.mlp.down_proj,model.language_model.layers.16.mlp.down_proj,119,16,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,7.082528098555362e-05,3.4039856523906575
model.language_model.layers.17.self_attn.q_proj,model.language_model.layers.17.self_attn.q_proj,120,17,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002268427242391589,1.257995
model.language_model.layers.17.self_attn.k_proj,model.language_model.layers.17.self_attn.k_proj,121,17,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00019341448023915252,1.257995
model.language_model.layers.17.self_attn.v_proj,model.language_model.layers.17.self_attn.v_proj,122,17,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00036182756620413897,1.257995
model.language_model.layers.17.self_attn.o_proj,model.language_model.layers.17.self_attn.o_proj,123,17,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0004824726886247684,1.257995
model.language_model.layers.17.mlp.gate_proj,model.language_model.layers.17.mlp.gate_proj,124,17,gate_proj,mlp,11008,4096,sparse_bf16,sparse_bf16,0.00037298903206742934,3.3904291110950173
model.language_model.layers.17.mlp.up_proj,model.language_model.layers.17.mlp.up_proj,125,17,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0034175291669585627,2.5708457841501398
model.language_model.layers.17.mlp.down_proj,model.language_model.layers.17.mlp.down_proj,126,17,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.0003977748312909712,3.4039856523906575
model.language_model.layers.18.self_attn.q_proj,model.language_model.layers.18.self_attn.q_proj,127,18,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0002126778104156258,1.257995
model.language_model.layers.18.self_attn.k_proj,model.language_model.layers.18.self_attn.k_proj,128,18,k_proj,attention,4096,4096,dense_nvfp4,dense_nvfp4,3.864682915370921e-05,1.969835
model.language_model.layers.18.self_attn.v_proj,model.language_model.layers.18.self_attn.v_proj,129,18,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.000388074680763238,1.257995
model.language_model.layers.18.self_attn.o_proj,model.language_model.layers.18.self_attn.o_proj,130,18,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0003159259213534716,1.257995
