module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean,method,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
3,model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,4.799626367457677e-07,0.011053633876144886,0.008046726696193218,0.134765625,0.00255662202835083,0.6547608971595764,1.816826343536377,0.7004428505897522,0.8215903639793396,-2.6716159858608535e-05,0.0642004578178371,0.012911269150208682,4.96875,0.02311834692955017,marlin_nvfp4,9.667986660133465e-07,0.007912722251626573,0.08895348363963365,0.0146484375,5.258479639280722e-06,0.005264467050293041,0.07255664718199871,0.02734375,0.03160478879545666
4,model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,-1.5904067822702928e-06,0.007180104032158852,0.004932840820401907,0.451171875,0.004933774471282959,0.45231494307518005,3.1075775623321533,0.4033185839653015,1.2295564413070679,-9.193716829258847e-05,0.008608439965624584,0.0024882647649064893,0.75390625,0.011866550892591476,dense_nvfp4,3.9923259009810863e-07,0.007743985967846362,0.08799992027181822,0.04296875,1.6953999315560964e-07,0.000724393118997094,0.02691455217901821,0.0537109375,0.015298502524057296
4,model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,-1.5904067822702928e-06,0.007180104032158852,0.004932840820401907,0.451171875,0.004933774471282959,0.45231494307518005,3.1075775623321533,0.4033185839653015,1.2295564413070679,-9.193716829258847e-05,0.008608439965624584,0.0024882647649064893,0.75390625,0.011866550892591476,sparse_bf16,1.340669496130431e-05,0.2600520604543426,0.5099529982795891,0.1279296875,3.693246015679108e-07,0.0015780123325036589,0.039724203358955594,0.03076171875,0.015298502524057296
4,model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,-1.5904067822702928e-06,0.007180104032158852,0.004932840820401907,0.451171875,0.004933774471282959,0.45231494307518005,3.1075775623321533,0.4033185839653015,1.2295564413070679,-9.193716829258847e-05,0.008608439965624584,0.0024882647649064893,0.75390625,0.011866550892591476,sparse_nvfp4,2.341939034522511e-05,0.454270103962134,0.6739956260704768,0.29931640625,9.219381955638539e-07,0.003939163099965925,0.06276275248876459,0.0703125,0.015298502524057296
4,model.layers.0.self_attn.o_proj,0,layers_00_07,o_proj,attention,4096,4096,16777216,-1.5904067822702928e-06,0.007180104032158852,0.004932840820401907,0.451171875,0.004933774471282959,0.45231494307518005,3.1075775623321533,0.4033185839653015,1.2295564413070679,-9.193716829258847e-05,0.008608439965624584,0.0024882647649064893,0.75390625,0.011866550892591476,marlin_nvfp4,3.9923259009810863e-07,0.007743985967846362,0.08799992027181822,0.04296875,1.6953999315560964e-07,0.000724393118997094,0.02691455217901821,0.0537109375,0.015298502524057296
5,model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,4096,11008,45088768,-1.513830284238793e-05,0.016400780528783798,0.012972692027688026,0.890625,0.00019971714937128127,1.0422314405441284,5.189163684844971,1.7197272777557373,1.9885376691818237,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.046712569892406464,dense_nvfp4,2.0182007236059667e-06,0.007502999812469574,0.08661985807232413,0.0361328125,1.2706959772236418e-05,0.0021504978920680005,0.04637346107492949,0.109375,0.07686901515349152
5,model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,4096,11008,45088768,-1.513830284238793e-05,0.016400780528783798,0.012972692027688026,0.890625,0.00019971714937128127,1.0422314405441284,5.189163684844971,1.7197272777557373,1.9885376691818237,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.046712569892406464,sparse_bf16,5.382471609600755e-05,0.20010241303105372,0.44732808209529357,0.25390625,9.3673243946098e-05,0.015853053543884894,0.12590890970810958,0.408203125,0.07686901515349152
5,model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,4096,11008,45088768,-1.513830284238793e-05,0.016400780528783798,0.012972692027688026,0.890625,0.00019971714937128127,1.0422314405441284,5.189163684844971,1.7197272777557373,1.9885376691818237,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.046712569892406464,sparse_nvfp4,8.567229866288429e-05,0.31850114474885016,0.5643590565844143,0.474609375,0.00017668992290435748,0.029902613494195672,0.17292372160636513,0.5703125,0.07686901515349152
5,model.layers.0.mlp.gate_proj,0,layers_00_07,gate_proj,mlp,4096,11008,45088768,-1.513830284238793e-05,0.016400780528783798,0.012972692027688026,0.890625,0.00019971714937128127,1.0422314405441284,5.189163684844971,1.7197272777557373,1.9885376691818237,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.046712569892406464,marlin_nvfp4,2.0182007236059667e-06,0.007502999812469574,0.08661985807232413,0.0361328125,1.2706959772236418e-05,0.0021504978920680005,0.04637346107492949,0.109375,0.07686901515349152
6,model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,4096,11008,45088768,-3.2061507226899266e-07,0.01612473651766777,0.012813741341233253,0.341796875,2.557177867856808e-05,1.0297051668167114,1.63874089717865,1.690166711807251,1.8084276914596558,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.04886464774608612,dense_nvfp4,1.9513497326717995e-06,0.007504985964111575,0.08663132207297529,0.01397705078125,1.190872713185706e-05,0.002933604165492543,0.05416275625826794,0.0390625,0.0637135663557007
6,model.layers.0.mlp.up_proj,0,layers_00_07,up_proj,mlp,4096,11008,45088768,-3.2061507226899266e-07,0.01612473651766777,0.012813741341233253,0.341796875,2.557177867856808e-05,1.0297051668167114,1.63874089717865,1.690166711807251,1.8084276914596558,-3.9618841718436215e-06,0.0425908925519034,0.028547185749630444,2.90625,0.04886464774608612,sparse_bf16,5.1798423492284705e-05,0.19921925565871276,0.4463398432346285,0.08203125,8.999970427688569e-05,0.022170590058569657,0.1488979182479381,0.1484375,0.0637135663557007
